Date,Timestamp,Open,High,Low,Close,Volume
20040130,8:00:00,6.106,6.283,5.997,6.179,30.55000046
20040130,12:00:00,6.147,6.296,6.02,6.216,66.60000099
20040130,16:00:00,6.19,6.286,6.049,6.123,41.45000062
20040130,20:00:00,6.175,6.217,6.083,6.167,0.70000001
20040201,20:00:00,6.17,6.17,6.056,6.09,0.200000003
20040202,0:00:00,6.16,6.276,6.092,6.218,8.850000132
20040202,4:00:00,6.133,6.297,6.095,6.131,8.950000133
20040202,8:00:00,6.197,6.26,6.029,6.184,23.45000035
20040202,12:00:00,6.142,6.246,5.876,6.083,69.90000104
20040202,16:00:00,5.986,6.11,5.773,5.899,46.00000069
20040202,20:00:00,5.964,6.004,5.88,5.924,0.900000013
20040203,0:00:00,6.006,6.103,5.902,5.983,5.600000083
20040203,4:00:00,6.011,6.096,5.902,6.08,15.45000023
20040203,8:00:00,6.049,6.189,5.851,5.974,30.15000045
20040203,12:00:00,6.129,6.186,5.916,6.012,50.55000075
20040203,16:00:00,6.001,6.176,5.935,5.985,36.65000055
20040203,20:00:00,6.026,6.048,5.926,6.048,0.65000001
20040204,0:00:00,6.048,6.122,5.916,5.964,11.45000017
20040204,4:00:00,5.923,6.094,5.873,5.984,12.05000018
20040204,8:00:00,5.998,6.124,5.867,5.974,15.90000024
20040204,12:00:00,6.018,6.178,5.88,6.042,57.70000086
20040204,16:00:00,5.981,6.179,5.948,6.049,33.20000049
20040204,20:00:00,6.095,6.095,5.973,6.019,1.35000002
20040205,0:00:00,6.075,6.173,5.951,6.04,7.200000107
20040205,4:00:00,6.071,6.242,5.964,6.112,11.00000016
20040205,8:00:00,5.963,6.151,5.961,6.04,12.50000019
20040205,12:00:00,6.073,6.228,5.891,6.104,66.40000099
20040205,16:00:00,6.025,6.191,5.933,6.015,29.60000044
20040205,20:00:00,5.976,6.107,5.935,5.975,1.100000016
20040206,0:00:00,6.035,6.103,5.917,5.999,7.200000107
20040206,4:00:00,6.06,6.134,5.908,5.993,7.600000113
20040206,8:00:00,6.11,6.147,5.897,5.993,9.050000135
20040206,12:00:00,5.968,6.414,5.899,6.222,61.00000091
20040206,16:00:00,6.111,6.3,6.05,6.149,39.9500006
20040208,20:00:00,6.188,6.188,6.053,6.078,0.200000003
20040209,0:00:00,6.139,6.281,5.984,6.235,9.950000148
20040209,4:00:00,6.245,6.312,6.13,6.219,10.55000016
20040209,8:00:00,6.308,6.37,6.13,6.283,17.85000027
20040209,12:00:00,6.292,6.357,6.093,6.251,57.80000086
20040209,16:00:00,6.189,6.395,6.09,6.334,31.90000048
20040209,20:00:00,6.247,6.368,6.223,6.299,1.800000027
20040210,0:00:00,6.355,6.437,6.245,6.289,8.850000132
20040210,4:00:00,6.365,6.465,6.244,6.376,11.75000018
20040210,8:00:00,6.268,6.446,6.231,6.256,12.40000018
20040210,12:00:00,6.358,6.486,6.207,6.339,61.10000091
20040210,16:00:00,6.234,6.421,6.181,6.276,35.55000053
20040210,20:00:00,6.258,6.364,6.206,6.269,1.200000018
20040211,0:00:00,6.313,6.381,6.206,6.29,6.300000094
20040211,4:00:00,6.315,6.394,6.157,6.284,6.950000104
20040211,8:00:00,6.324,6.408,6.117,6.195,26.35000039
20040211,12:00:00,6.214,6.42,6.099,6.341,68.45000102
20040211,16:00:00,6.262,6.59,6.228,6.4,58.60000087
20040211,20:00:00,6.507,6.551,6.406,6.449,2.250000034
20040212,0:00:00,6.505,6.578,6.352,6.464,11.30000017
20040212,4:00:00,6.449,6.559,6.339,6.476,8.100000121
20040212,8:00:00,6.459,6.587,6.299,6.437,24.75000037
20040212,12:00:00,6.451,6.59,6.31,6.563,58.40000087
20040212,16:00:00,6.479,6.696,6.424,6.479,52.95000079
20040212,20:00:00,6.456,6.582,6.414,6.507,2.70000004
20040213,0:00:00,6.565,6.58,6.402,6.508,6.100000091
20040213,4:00:00,6.513,6.597,6.389,6.45,7.600000113
20040213,8:00:00,6.459,6.632,6.354,6.475,12.80000019
20040213,12:00:00,6.51,6.702,6.319,6.493,65.00000097
